server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
2,60,100,60,60,6000,6000,1.7829871551711374,1.8021440700204039,1.7636536299960426,0,10697.922931026824,1.0
2,60,1000,60,60,60000,60000,1.693055319634656,1.6944448600138458,1.691989230008403,0,101583.31917807937,1.0
2,70,1,70,70,70,70,2.2095015428411506,4.211457000110386,1.8230599998787511,0,154.66510799888056,1.0
2,70,10,70,70,700,700,2.9739716299984917,3.2831786000315333,2.850560100068833,0,2081.7801409989443,1.0
2,70,100,70,70,7000,7000,1.644451681857845,1.6631652299929556,1.635067420006635,0,11511.161773004915,1.0
2,70,1000,70,70,70000,70000,1.707098224286327,1.7176544610074416,1.6942211570008112,0,119496.87570004289,1.0
2,80,1,80,80,80,80,2.6676790624719615,5.315670000072714,2.248444000088057,0,213.41432499775692,1.0
2,80,10,80,80,800,800,2.0985130487565584,2.3121313999581616,2.03331719990274,0,1678.8104390052467,1.0
2,80,100,80,80,8000,8000,1.802986898876327,1.9109676900461636,1.6822682500287556,0,14423.895191010615,1.0
2,80,1000,80,80,80000,80000,2.012979741811847,2.018515921996368,2.01055358199892,0,161038.37934494778,1.0
2,90,1,90,90,90,90,4.175675200010826,7.3249080001005495,2.7864499998031533,0,375.81076800097435,1.0
2,90,10,90,90,900,900,2.9806252977914482,3.272270000024946,2.811475500038796,0,2682.5627680123034,1.0
2,90,100,90,90,9000,9000,2.168825712554179,2.22454721998929,2.1286479799618974,0,19519.431412987615,1.0
2,90,1000,90,90,90000,90000,2.1567034003119967,2.1641819809979097,2.15074062700387,0,194103.3060280797,1.0
2,100,1,100,100,100,100,3.846504320022177,5.744916999901761,3.265330000431277,0,384.6504320022177,1.0
2,100,10,100,100,1000,1000,3.9070246089972898,4.190323599914336,3.8022796000404924,0,3907.0246089972898,1.0
2,100,100,100,100,10000,10000,2.4177056137014916,2.485140820003835,2.373617190019104,0,24177.056137014915,1.0
2,100,1000,100,100,100000,100000,2.501283070970212,2.516599012993538,2.4837086070056102,0,250128.3070970212,1.0
2,1000,1,1000,1000,1000,1000,36.249687035989616,62.41008899996814,29.805891999785672,0,36249.68703598961,1.0
2,1000,10,1000,1000,10000,10000,29.726414410098094,40.946877000033055,28.778913499991177,0,297264.14410098095,1.0
2,1000,100,1000,1000,100000,100000,27.942867252600877,28.111710880020837,27.813469920019998,0,2794286.7252600878,1.0
2,1000,1000,1000,1000,1000000,1000000,27.677588708589248,27.827723828002036,27.668258832006813,0,27677588.708589245,1.0
4,10,1,10,10,10,10,0.4019528000299033,0.49184899989995756,0.28942400012965663,0,4.019528000299033,1.0
4,10,10,10,10,100,100,0.4133872999864252,0.4352543000550213,0.39442340007553867,0,41.33872999864252,1.0
4,10,100,10,10,1000,1000,0.31782319999229003,0.3234788299914726,0.30764565000481525,0,317.82319999229003,1.0
4,10,1000,10,10,10000,10000,0.34513069759959764,0.3467772059912022,0.3430036539957655,0,3451.3069759959762,1.0
4,20,1,20,20,20,20,1.1204833499732558,1.2460469997677137,0.9573829997862049,0,22.409666999465117,1.0
4,20,10,20,20,200,200,0.7096685550163784,0.7823880000614736,0.6764066999494389,0,141.93371100327568,1.0
4,20,100,20,20,2000,2000,0.6962049054945965,0.7113763199777168,0.6893481900033294,0,1392.409810989193,1.0
4,20,1000,20,20,20000,20000,0.6492853528479146,0.6508486749926305,0.647495559003346,0,12985.70705695829,1.0
4,30,1,30,30,30,30,0.8438814000176839,1.1719919998540718,0.6599420003112755,0,25.316442000530515,1.0
4,30,10,30,30,300,300,1.0925097666616541,1.1762374999307212,1.0538350001752406,0,327.75292999849626,1.0
4,30,100,30,30,3000,3000,1.675116285999896,1.7076212900292376,1.6557039400322537,0,5025.348857999688,1.0
4,30,1000,30,30,30000,30000,1.0023056451979453,1.0070352260072468,0.9970469759855405,0,30069.169355938357,1.0
4,40,1,40,40,40,40,1.90708157501831,2.5279989995397045,1.5447049991053063,0,76.2832630007324,1.0
4,40,10,40,40,400,400,1.6234413700112782,1.7040179001014621,1.5792365000379505,0,649.3765480045113,1.0
4,40,100,40,40,4000,4000,1.4764121997552593,1.4895867000086582,1.4673389800100267,0,5905.648799021037,1.0
4,40,1000,40,40,40000,40000,1.2754292818978228,1.2789429939766706,1.2732955909805241,0,51017.171275912915,1.0
4,50,1,50,50,50,50,1.9430799399378884,3.6062680001123226,1.3435319997370243,0,97.15399699689442,1.0
4,50,10,50,50,500,500,1.5896041979940492,1.6931001999182627,1.558104500054469,0,794.8020989970246,1.0
4,50,100,50,50,5000,5000,1.7590445693977017,1.772938889944271,1.7496756400396407,0,8795.222846988509,1.0
4,50,1000,50,50,50000,50000,1.4599787775824553,1.4654349640040891,1.4559221549870927,0,72998.93887912275,1.0
4,60,1,60,60,60,60,2.119811983357067,3.568207000171242,1.669333999416267,0,127.18871900142403,1.0
4,60,10,60,60,600,600,2.0982342433217127,2.2540918998856796,1.9828871001664083,0,1258.9405459930276,1.0
4,60,100,60,60,6000,6000,1.7807338981647263,1.8088344100033282,1.7652588300279604,0,10684.403388988358,1.0
4,60,1000,60,60,60000,60000,1.7877288846693167,1.7905838370033962,1.785309817023517,0,107263.733080159,1.0
4,70,1,70,70,70,70,2.665852857210536,4.495711000345182,2.0248749997335835,0,186.60970000473753,1.0
4,70,10,70,70,700,700,1.7952954971263222,1.956852800140041,1.7532638999909977,0,1256.7068479884256,1.0
4,70,100,70,70,7000,7000,3.071855725574486,3.0935574300019653,3.0549780599903897,0,21502.9900790214,1.0
4,70,1000,70,70,70000,70000,2.2552459773998503,2.261413154012189,2.2477931150078803,0,157867.21841798953,1.0
4,80,1,80,80,80,80,3.154255612457746,4.555286000140768,2.7637389994197292,0,252.34044899661967,1.0
4,80,10,80,80,800,800,2.541231063746636,2.8330047999588714,2.430062499934138,0,2032.984850997309,1.0
4,80,100,80,80,8000,8000,2.510392546125672,2.532873270001801,2.5015335099487856,0,20083.140369005378,1.0
4,80,1000,80,80,80000,80000,4.175211702861134,4.183569906002049,4.16204645898415,0,334016.93622889067,1.0
4,90,1,90,90,90,90,5.537145122212274,10.047671999927843,4.117815000427072,0,498.34306099910464,1.0
