run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
3,cpp,6,20,10,20,20,200,200,0.776826555,1.1311583,0.47060199999999996,0,155.365311,100.0
3,cpp,6,20,100,20,20,2000,2000,0.8624782015000001,1.0146753100000003,0.6679350600000005,0,1724.9564030000004,100.0
3,cpp,6,20,500,20,20,10000,10000,0.7635470127999999,0.8825058360000002,0.5728021639999995,0,7635.470128,100.0
3,cpp,6,20,1000,20,20,20000,20000,0.8127559302500001,0.9822566319999999,0.4287715849999995,0,16255.118605000003,100.0
3,cpp,6,20,10000,20,20,200000,200000,0.9609298616699998,1.0218492209999968,0.8226097615999984,0,192185.972334,100.0
3,cpp,6,30,1,30,30,30,30,2.1434648666666667,7.288822,0.178325,0,64.303946,100.0
3,cpp,6,30,10,30,30,300,300,0.6963592399999999,1.4495897,0.2744535,0,208.907772,100.0
3,cpp,6,30,100,30,30,3000,3000,1.0153811510000001,1.3267990600000001,0.43176829999999994,0,3046.143453,100.0
3,cpp,6,30,500,30,30,15000,15000,1.2856510244666663,1.4376137419999995,1.0001541840000001,0,19284.765366999993,100.0
3,cpp,6,30,1000,30,30,30000,30000,1.2350493825000002,1.4201630190000025,0.6210917900000001,0,37051.481475,100.0
3,cpp,6,30,10000,30,30,300000,300000,1.4264258426199994,1.533556494800005,1.0435191687000005,0,427927.75278599985,100.0
3,cpp,6,40,1,40,40,40,40,0.905830025,3.864028,0.198466,0,36.233201,100.0
3,cpp,6,40,10,40,40,400,400,1.074054185,2.9749749,0.27760890000000005,0,429.621674,100.0
3,cpp,6,40,100,40,40,4000,4000,1.3054199255,1.54669192,1.05503878,0,5221.679701999999,100.0
3,cpp,6,40,500,40,40,20000,20000,1.7927966919999996,1.9748049359999997,0.863880926000001,0,35855.93383999999,100.0
3,cpp,6,40,1000,40,40,40000,40000,1.7755104886000002,1.9559048780000006,1.3594798780000008,0,71020.419544,100.0
3,cpp,6,40,10000,40,40,400000,400000,1.8039684075974989,1.948066415099998,0.9049959945000005,0,721587.3630389995,100.0
3,cpp,6,50,1,50,50,50,50,0.90611774,4.049133,0.209194,0,45.305887,100.0
3,cpp,6,50,10,50,50,500,500,0.985829624,2.0381537,0.37816079999999996,0,492.914812,100.0
3,cpp,6,50,100,50,50,5000,5000,1.5220435028,1.96630022,0.75915179,0,7610.217514,100.0
3,cpp,6,50,500,50,50,25000,25000,2.18930318416,2.422296160000001,1.7018738460000014,0,54732.579604,100.0
3,cpp,6,50,1000,50,50,50000,50000,2.0029466718000006,2.2273302750000004,1.329245039,0,100147.33359000002,100.0
3,cpp,6,50,10000,50,50,500000,500000,1.9418477080499996,2.0379039655999973,0.9673112782000013,0,970923.8540249999,100.0
3,cpp,6,60,1,60,60,60,60,1.9198892166666668,8.045181,0.149469,0,115.193353,100.0
3,cpp,6,60,10,60,60,600,600,1.7249116633333332,2.7859084999999997,0.3344467,0,1034.946998,100.0
3,cpp,6,60,100,60,60,6000,6000,2.1851528405000002,2.7687466200000004,0.95863779,0,13110.917043000001,100.0
3,cpp,6,60,500,60,60,30000,30000,2.3473625223666668,2.705556422000003,1.7041427680000008,0,70420.875671,100.0
3,cpp,6,60,1000,60,60,60000,60000,2.1796711020833337,2.4424678339999955,1.3434255979999994,0,130780.26612500001,100.0
3,cpp,6,60,10000,60,60,600000,600000,2.158808843843332,2.2660152202999995,1.9892980051000018,0,1295285.3063059994,100.0
3,cpp,6,70,1,70,70,70,70,1.8696695142857145,8.479758,0.210232,0,130.876866,100.0
3,cpp,6,70,10,70,70,700,700,1.2106345485714285,2.9309589000000003,0.38296469999999994,0,847.444184,100.0
3,cpp,6,70,100,70,70,7000,7000,1.9413279212857146,2.6253087799999997,1.0343278200000001,0,13589.295449000001,100.0
3,cpp,6,70,500,70,70,35000,35000,2.9491852897142863,3.4069656300000055,1.5844565039999998,0,103221.48514,100.0
3,cpp,6,70,1000,70,70,70000,70000,2.553347510314285,2.7244654890000004,1.9424383959999976,0,178734.32572199998,100.0
