run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate,language
7,go,6,10,10,10,10,100,100,0.26700375,0.2998756,0.2335059,0,26.700374999999998,100.0,go
7,go,6,10,100,10,10,1000,1000,0.24332832100000004,0.2632211500000001,0.2193697700000001,0,243.32832100000002,100.0,go
7,go,6,10,500,10,10,5000,5000,0.252448174,0.2692027939999999,0.22216651800000012,0,1262.24087,100.0,go
7,go,6,10,1000,10,10,10000,10000,0.22439134860000007,0.2380480229999999,0.20729815100000035,0,2243.913486000001,100.0,go
7,go,6,10,10000,10,10,100000,100000,0.24503290797000005,0.25507607039999913,0.2350330881999996,0,24503.290797,100.0,go
7,go,6,20,1,20,20,20,20,0.44846449999999993,0.901241,0.103239,0,8.969289999999999,100.0,go
7,go,6,20,10,20,20,200,200,0.49863234,0.6707346999999999,0.26860310000000004,0,99.726468,100.0,go
7,go,6,20,100,20,20,2000,2000,0.3901585640000001,0.42932671999999994,0.2764634400000001,0,780.3171280000001,100.0,go
7,go,6,20,500,20,20,10000,10000,0.3690781595,0.3932638520000001,0.31726956199999995,0,3690.7815950000004,100.0,go
7,go,6,20,1000,20,20,20000,20000,0.3745109617499999,0.392490933,0.3414779819999996,0,7490.219234999999,100.0,go
7,go,6,20,10000,20,20,200000,200000,0.3924717698899996,0.4076276916999996,0.3469658003999993,0,78494.35397799991,100.0,go
7,go,6,30,1,30,30,30,30,0.41661296666666664,2.562537,0.119422,0,12.498389,100.0,go
7,go,6,30,10,30,30,300,300,0.5754086566666667,0.8062937,0.20243499999999998,0,172.622597,100.0,go
7,go,6,30,100,30,30,3000,3000,0.553768822,0.5888980699999998,0.47810308000000007,0,1661.306466,100.0,go
7,go,6,30,500,30,30,15000,15000,0.527220717,0.5503908299999998,0.4773359700000001,0,7908.3107549999995,100.0,go
7,go,6,30,1000,30,30,30000,30000,0.5250970671,0.5499690430000003,0.4549198580000002,0,15752.912013000001,100.0,go
7,go,6,30,10000,30,30,300000,300000,0.5367522097033334,0.5537197287000027,0.46330987979999944,0,161025.662911,100.0,go
7,go,6,40,1,40,40,40,40,1.731815525,4.553498,0.12146,0,69.272621,100.0,go
7,go,6,40,10,40,40,400,400,0.71774391,1.0672720999999998,0.2738572,0,287.09756400000003,100.0,go
7,go,6,40,100,40,40,4000,4000,0.66686884,0.7662790300000001,0.56867564,0,2667.47536,100.0,go
7,go,6,40,500,40,40,20000,20000,0.7120938176500001,0.7417603019999999,0.6465677960000006,0,14241.876353000001,100.0,go
7,go,6,40,1000,40,40,40000,40000,0.6629896365750001,0.6936826819999994,0.5579594890000001,0,26519.585463000003,100.0,go
7,go,6,40,10000,40,40,400000,400000,0.6830335289400001,0.7049339104000018,0.625557871600003,0,273213.4115760001,100.0,go
7,go,6,50,1,50,50,50,50,1.02573942,2.76428,0.081041,0,51.286971,100.0,go
7,go,6,50,10,50,50,500,500,0.993457128,1.5566199,0.41037219999999996,0,496.728564,100.0,go
7,go,6,50,100,50,50,5000,5000,0.7708479252000001,0.8667498600000004,0.67182089,0,3854.239626,100.0,go
7,go,6,50,500,50,50,25000,25000,0.8679160292,0.9181452219999995,0.584887088,0,21697.90073,100.0,go
7,go,6,50,1000,50,50,50000,50000,0.7736640465999999,0.8081518779999989,0.6509797370000003,0,38683.20232999999,100.0,go
7,go,6,50,10000,50,50,500000,500000,0.8240382769959994,0.8415623115000004,0.7510268922000003,0,412019.1384979997,100.0,go
7,go,6,60,1,60,60,60,60,1.34073745,4.118401,0.130975,0,80.444247,100.0,go
7,go,6,60,10,60,60,600,600,1.04986343,1.5562081,0.43204180000000003,0,629.918058,100.0,go
7,go,6,60,100,60,60,6000,6000,0.9162541945,1.02667806,0.7841259800000002,0,5497.525167,100.0,go
7,go,6,60,500,60,60,30000,30000,0.8905027563999999,0.9592851879999996,0.7428175320000004,0,26715.082691999996,100.0,go
7,go,6,60,1000,60,60,60000,60000,0.9640670729166667,0.9905672159999993,0.891202689,0,57844.02437500001,100.0,go
7,go,6,60,10000,60,60,600000,600000,0.921165386575,0.9452134786999985,0.8440276821999995,0,552699.231945,100.0,go
7,go,6,70,1,70,70,70,70,2.1809385428571426,7.019658,0.102455,0,152.665698,100.0,go
7,go,6,70,10,70,70,700,700,1.1929179128571428,1.9093479000000002,0.1698124,0,835.042539,100.0,go
7,go,6,70,100,70,70,7000,7000,0.9671960818571429,1.1214886099999999,0.7392222499999999,0,6770.372573000001,100.0,go
7,go,6,70,500,70,70,35000,35000,1.078951469542857,1.1569015679999988,0.8567339720000008,0,37763.301434,100.0,go
7,go,6,70,1000,70,70,70000,70000,1.0686156135142857,1.1203396480000007,0.964396870000002,0,74803.09294599999,100.0,go
7,go,6,70,10000,70,70,700000,700000,1.0323999199471425,1.0610605480999982,0.865366203000005,0,722679.9439629999,100.0,go
7,go,6,80,1,80,80,80,80,1.4266683375,4.563626,0.12758,0,114.133467,100.0,go
